trait,distance
frequency of pre-flowering floret abortion (%FA),0.5974442958831787
1000 grain weight,0.7208132743835449
disease severity index at URRC,0.5901750922203064
relative water content,0.6038539409637451
relative chlorophyll content of leaf blade,0.6045419573783875
cooked rice elongation,0.6395531892776489
water absorption,0.6326608061790466
days to heading,0.5430313944816589
Seed dormancy,0.7116798758506775
grain length-width ratio,0.6908142566680908
maximum root length (after 4-weeks stress),0.6222313642501831
Yield per plant,0.783646285533905
"""tiller, leaf and flag leaf angles""",0.6223270297050476
Alkali-spreading score,0.6011223196983337
degree of chlorophyll content of flag leaf at the heading date,0.5119665265083313
No. of new roots F-C,0.5847200155258179
Spikelet number per  plant,0.7282235026359558
canopy temperature (CT),0.6125217080116272
"""Plant height (High N level, Soil culture , Maturity  )""",0.7697730660438538
1st internode length,0.6283251047134399
Thousand grain weight,0.6822071075439453
total number of leaves,0.6638256311416626
awnless,0.6365557909011841
tissue culture,0.6173542737960815
grain thickness,0.6893274784088135
Vigor of germination (7days)Å@,0.6194949150085449
shattering,0.6054390668869019
Seminal root length,0.6386035680770874
root dry weight/root fresh weight,0.6767993569374084
K+1 concentration,0.6428284645080566
Shoot dry weight,0.7086688876152039
hot paste viscosity,0.5789085030555725
days to maturity (mean),0.5491793155670166
Salt-soluble storage proteins,0.5970556139945984
No. of large stem vascular bundles ,0.6156086325645447
Percentage of exserted stigmas,0.6442684531211853
leaf chlorophyll content 25 days after flowering,0.6003297567367554
score of submergence tolerance,0.6184588670730591
ovicidal response to whitebacked planthopper,0.4688255488872528
mesocotyl length,0.5859885811805725
Boron tolerance,0.632773220539093
arsenic concentrations in shoots,0.6221810579299927
Seed weight,0.7575682401657104
chlorophyll degradation speed,0.635602593421936
Root / Shoot Ratio of Dry Weight,0.6535690426826477
Yield(1998),0.664474368095398
Chalcone synthase,0.6002862453460693
osmotic adjustment at 70 % RWC ,0.5403587222099304
root dry weight(flooding),0.6832491755485535
Root-to-shoot ratio Average,0.6375905275344849
resistant or susceptible phenotype ,0.61784827709198
Root-to-shoot ratio F-RP,0.6094339489936829
Harvest index,0.6250017881393433
leaf chlorophyll content at flowering (SPAD),0.6166542172431946
low temperature germinablity,0.6625871658325195
number of filled grain per panicle (NFG),0.5792641639709473
chlorophyll a/b ratioat the 7th day after heading,0.5310195684432983
Deep root ratio,0.6158333420753479
root dry weight (low moisture stress 85 days),0.6115210652351379
Penetrated root thickness ,0.6212975978851318
overall evaluation,0.6185688972473145
root fresh weight,0.6689475774765015
Zinc content,0.6264068484306335
nymph mortality,0.5883293151855469
Dead leaf rate at 34 days,0.5495505332946777
Protein,0.6450313925743103
